NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.9999	0.9947	0.9996	71.896
4	1.0	0.9946	0.9996	194.586
6	1.0	0.993	0.9997	388.166
8	0.9999	0.9939	0.9996	621.419
10	0.7143	0.7072	0.7126	289.717
