NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	0.9942	1.0	51.884
4	1.0	0.9944	0.9997	131.476
6	0.1392	0.1392	0.1399	9.373
8	1.0	0.9934	0.9995	416.834
10	1.0	0.9944	0.9995	594.153
