NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	1.0	1.0	3.315
4	1.0	0.9951	1.0	3.994
6	1.0	0.986	1.0	4.288
8	1.0	1.0	1.0	4.674
10	0.9986	0.9955	1.0	4.934
