NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.4411	0.0808	0.8261	811.017
4	0.6253	0.1494	0.8959	1041.866
6	0.7261	0.205	0.9109	1245.551
8	0.7869	0.2665	0.9232	1467.427
10	0.8286	0.3146	0.9321	1605.051
