NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	0.9945	1.0	230.011
4	0.9999	0.9938	0.9993	732.177
6	1.0	0.993	0.9991	2923.613
8	1.0	0.9924	0.9994	3938.182
10	1.0	0.9936	0.9993	6850.285
