DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
500	1.0	1.0	1.0	6.199
1000	0.9986	0.9955	1.0	4.934
10000	0.9999	0.9941	0.9996	48.864
20000	0.9998	0.9939	0.9991	150.736
30000	1.0	0.9947	0.9997	338.804
40000	1.0	0.9944	0.9995	594.153
50000	0.7143	0.7072	0.7126	289.717
70000	1.0	0.9942	0.9997	2293.927
90000	1.0	0.9939	0.9994	3963.93
100000	1.0	0.9936	0.9993	6850.285
