NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.975	0.1047	0.9402	768.973
4	0.9863	0.1842	0.9511	1107.696
6	0.9909	0.2479	0.9528	1330.98
8	0.9929	0.313	0.9534	1554.384
10	0.9947	0.3676	0.9574	1716.845
