NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	1.0	1.0	2.516
4	1.0	0.9899	1.0	3.509
6	0.9976	1.0	1.0	3.695
8	0.9982	1.0	1.0	3.985
10	1.0	1.0	1.0	6.199
