DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.9981	0.0917	1.0	10.495
10	0.9967	0.1508	0.9934	105.227
20	0.6515	0.1416	0.902	242.085
30	0.6345	0.1352	0.9114	355.599
40	0.6392	0.1479	0.9184	477.098
80	0.6249	0.1447	0.8927	918.641
90	0.6253	0.1494	0.8959	1041.866
100	0.9863	0.1842	0.9511	1107.696
