DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.9961	0.879	1.0	13.615
10	0.9977	0.2295	0.9934	136.478
20	0.7489	0.2016	0.9273	279.702
30	0.7312	0.2039	0.9403	419.353
40	0.7301	0.221	0.9396	547.047
80	0.728	0.2071	0.9131	1106.708
90	0.7261	0.205	0.9109	1245.551
100	0.9909	0.2479	0.9528	1330.98
