NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.4744	0.0775	0.8391	183.258
4	0.6515	0.1416	0.902	242.085
6	0.7489	0.2016	0.9273	279.702
8	0.8038	0.2658	0.9433	320.424
10	0.8419	0.3146	0.9544	361.751
