NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.9996	0.9942	1.0	11.056
4	1.0	0.9968	1.0	17.669
6	1.0	0.9949	1.0	29.196
8	1.0	0.993	0.9995	37.536
10	0.9999	0.9941	0.9996	48.864
