NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	0.9961	0.9993	34.6
4	1.0	0.9929	0.9982	77.433
6	0.9999	0.9924	0.9995	144.153
8	1.0	0.9944	0.9991	236.089
10	1.0	0.9947	0.9997	338.804
