DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.997	0.1935	0.9978	15.459
10	0.9975	0.3424	0.9956	169.065
20	0.8419	0.3146	0.9544	361.751
30	0.8339	0.3048	0.9569	543.498
40	0.8353	0.3351	0.9601	719.339
80	0.8314	0.3054	0.9337	1403.207
90	0.8286	0.3146	0.9321	1605.051
100	0.9947	0.3676	0.9574	1716.845
