DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
500	0.9976	1.0	1.0	3.695
1000	1.0	0.986	1.0	4.288
10000	1.0	0.9949	1.0	29.196
20000	1.0	0.9929	0.9993	68.89
30000	0.9999	0.9924	0.9995	144.153
40000	0.1392	0.1392	0.1399	9.373
50000	1.0	0.993	0.9997	388.166
70000	1.0	0.9932	0.9998	726.963
90000	1.0	0.9932	0.9998	1272.581
100000	1.0	0.993	0.9991	2923.613
