DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
500	1.0	0.9899	1.0	3.509
1000	1.0	0.9951	1.0	3.994
10000	1.0	0.9968	1.0	17.669
20000	0.9999	0.993	1.0	41.858
30000	1.0	0.9929	0.9982	77.433
40000	1.0	0.9944	0.9997	131.476
50000	1.0	0.9946	0.9996	194.586
70000	1.0	0.9942	0.9998	370.354
90000	1.0	0.9949	0.9995	982.411
100000	0.9999	0.9938	0.9993	732.177
