NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.4501	0.0756	0.8502	371.059
4	0.6392	0.1479	0.9184	477.098
6	0.7301	0.221	0.9396	547.047
8	0.7941	0.2745	0.9524	631.411
10	0.8353	0.3351	0.9601	719.339
