DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.9982	0.1787	1.0	13.712
10	0.998	0.2854	0.9939	152.76
20	0.8038	0.2658	0.9433	320.424
30	0.7932	0.2625	0.9512	483.707
40	0.7941	0.2745	0.9524	631.411
80	0.7835	0.2566	0.926	1287.704
90	0.7869	0.2665	0.9232	1467.427
100	0.9929	0.313	0.9534	1554.384
