NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.9956	0.0907	0.9956	70.731
4	0.9967	0.1508	0.9934	105.227
6	0.9977	0.2295	0.9934	136.478
8	0.998	0.2854	0.9939	152.76
10	0.9975	0.3424	0.9956	169.065
