NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.4419	0.0749	0.8272	723.831
4	0.6249	0.1447	0.8927	918.641
6	0.728	0.2071	0.9131	1106.708
8	0.7835	0.2566	0.926	1287.704
10	0.8314	0.3054	0.9337	1403.207
