DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
500	1.0	1.0	1.0	2.516
1000	1.0	1.0	1.0	3.315
10000	0.9996	0.9942	1.0	11.056
20000	1.0	0.9961	1.0	22.063
30000	1.0	0.9961	0.9993	34.6
40000	1.0	0.9942	1.0	51.884
50000	0.9999	0.9947	0.9996	71.896
70000	0.9999	0.9966	0.9997	118.257
90000	1.0	0.995	1.0	185.585
100000	1.0	0.9945	1.0	230.011
