DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.9925	0.6154	1.0	7.213
10	0.9956	0.0907	0.9956	70.731
20	0.4744	0.0775	0.8391	183.258
30	0.4543	0.0742	0.8566	269.537
40	0.4501	0.0756	0.8502	371.059
80	0.4419	0.0749	0.8272	723.831
90	0.4411	0.0808	0.8261	811.017
100	0.975	0.1047	0.9402	768.973
