FOLDER	AUTHORID	PRECISION	RECALL	F1
5528	13A2D623	0.1487	0.9387	0.2568
3193	18D73E0F	0.2191	0.9261	0.3543
4426	1557FA1F	0.9167	0.825	0.8684
3159	184FDBE8	0.859	0.9306	0.8933
12108	044F9858	0.9318	0.9318	0.9318
893	111B9020	0.1762	0.9881	0.2991
2985	05A080D9	0.2884	0.9625	0.4438
7373	18136B36	0.8406	0.9667	0.8992
3211	0DDE7D2B	0.1225	0.9655	0.2175
4360	0F1106FD	0.4645	0.9153	0.6163
238	127AD720	0.8686	0.9268	0.8968
1169	195A7ED5	0.1975	0.8631	0.3215
5960	0E4069A0	0.1799	0.8947	0.2996
5770	15789CC6	0.2748	0.9242	0.4236
5137	164CB6CC	0.4126	0.9833	0.5813
26279	17E812AE	0.1715	0.8393	0.2848
4682	171B4015	0.1934	0.94	0.3208
1515	0F4113A4	0.7727	0.9808	0.8644
814	14EF15A7	0.95	0.8906	0.9194
5387	16E089B6	0.7765	0.9706	0.8627
1975	171EBECD	0.1606	0.9202	0.2734
987	192B8BAF	0.2203	0.9479	0.3576
4113	018BDF6F	0.1293	0.9485	0.2275
5928	1912FDE5	0.8485	0.9545	0.8984
897	114FA1A9	0.9388	0.7667	0.844
66	167D8112	0.1392	0.9533	0.2429
14770	165893D2	0.2644	0.959	0.4145
3828	0E1AAF0F	0.4128	0.8882	0.5637
3171	189760C2	0.2575	0.6818	0.3738
45	0B861C8B	0.8512	0.8879	0.8692
3371	16AD4909	0.1648	0.8357	0.2753
4316	11E49C63	0.2665	0.9352	0.4148
5947	198EF811	0.3884	0.8633	0.5358
5353	151FEDE2	0.1881	0.7889	0.3037
618	0B35EBF6	0.2664	0.9734	0.4183
3667	0428466F	0.9545	0.9265	0.9403
1221	0B35B0B3	0.0338	0.9292	0.0652
1294	01F198C8	0.1614	0.9044	0.2739
5304	1917D7D4	0.9492	1.0	0.9739
1242	06D30B51	0.3293	0.375	0.3506
5541	13600905	0.2936	0.9659	0.4503
3569	0884256B	0.7397	0.8438	0.7883
5617	163BA8E0	0.8667	0.9435	0.9035
1847	16F5C49F	0.9302	0.8333	0.8791
4959	14FF3154	0.3267	0.9762	0.4896
1875	12A05A28	0.4321	0.9512	0.5943
9826	159588A5	0.0969	0.8705	0.1743
2097	1213C097	0.1242	0.9658	0.2201
5936	192E73CC	0.138	0.8452	0.2373
1738	0FB923B1	0.2567	0.9837	0.4072
11514	0B929AA4	0.0623	0.8944	0.1165
5560	14C8CABB	0.7182	0.9848	0.8307
973	1689989C	0.9725	0.7571	0.8514
807	14D98C8C	0.0672	0.9408	0.1254
3684	17478E8B	0.2548	0.9907	0.4053
1721	03F0040D	0.7286	0.9107	0.8095
5747	154E347C	0.451	0.7986	0.5764
410	00A21A99	0.8833	0.9464	0.9138
2155	1A20FDBE	0.2769	0.8854	0.4218
5706	154CA0AE	0.8642	0.9722	0.915
4221	0F050707	0.3233	0.7816	0.4574
908	162B613E	0.2607	0.8977	0.4041
3191	18CC5848	0.8101	0.8421	0.8258
99	007633F3	0.1911	0.9556	0.3185
16330	12406205	0.7541	0.8846	0.8142
17077	14476AF1	0.2937	0.9875	0.4527
5903	18A4B634	0.0541	0.9488	0.1024
3804	019E1635	0.7294	0.9688	0.8322
76	19000B86	0.4698	0.8417	0.603
793	19590F26	0.6067	0.9643	0.7448
3295	15A883AA	0.4224	0.8095	0.5551
3542	186C2A73	0.0675	0.9537	0.1261
22	1091080E	0.9464	0.8833	0.9138
10	161E3CBA	0.4712	0.8375	0.6031
4701	16FD4293	0.843	0.8793	0.8608
5774	0A444FE8	0.1309	0.9461	0.23
3631	18004E36	0.2178	0.8984	0.3506
833	1521D469	0.2251	0.939	0.3632
2808	0D9A5C8C	0.412	0.96	0.5766
2873	1496CBE7	0.9405	0.79	0.8587
617	169EE44E	0.7018	0.9677	0.8136
4400	1821B97D	0.5441	0.8409	0.6607
3711	0C7D2075	0.1389	0.8851	0.2402
278	156AB3C7	0.1391	0.9151	0.2414
1707	15734371	0.2054	0.8548	0.3313
1306	166A5DB7	0.3292	0.9236	0.4854
580	11482582	0.2362	0.9184	0.3758
5248	1036477C	0.412	0.8571	0.5565
3782	18BABC5B	0.1553	0.9868	0.2683
761	18B32D1E	0.312	0.9224	0.4662
5772	10FBCF15	0.2599	0.98	0.4109
4949	117584F8	0.9118	0.775	0.8378
3344	119432BF	0.9455	0.7647	0.8455
3233	0E2540AC	0.4384	0.9674	0.6034
4331	1476F0C1	0.4975	0.9712	0.658
496	0E8FDE7D	0.1116	0.9528	0.1998
5853	09C6C255	0.1715	0.8542	0.2857
2421	003E8C1C	0.1657	0.8839	0.2791
758	18A4AA37	0.1122	0.8995	0.1996
15368	181C4AA5	0.4016	0.9259	0.5602
4369	04BCD5EA	0.4695	0.7987	0.5913
2642	19E12A1B	0.8125	0.9559	0.8784
4921	005BB5B6	0.8796	0.913	0.896
4363	15F54986	0.7388	0.9519	0.8319
3502	156BAE90	0.8293	0.7727	0.8
20075	014F9CB7	0.1534	0.9597	0.2644
13098	0FF6D0FC	0.0444	0.943	0.0848
3420	17A2A360	0.6094	0.9595	0.7454
675	1A0D31AA	0.8649	0.8276	0.8458
438	0D8E405E	0.3279	0.9129	0.4825
887	0A884F50	0.9508	0.7632	0.8467
5809	1703D857	0.0363	0.885	0.0698
5454	0FCC071A	0.2635	0.8207	0.3989
4559	15F8A908	0.2304	0.9521	0.371
3120	0C8DB03D	0.4793	0.9031	0.6262
3	18C428CE	0.859	0.9853	0.9178
4298	16A257D2	0.7683	0.9844	0.863
