NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.9925	0.6154	1.0	7.213
4	0.9981	0.0917	1.0	10.495
6	0.9961	0.879	1.0	13.615
8	0.9982	0.1787	1.0	13.712
10	0.997	0.1935	0.9978	15.459
