NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.9999	0.9966	0.9997	118.257
4	1.0	0.9942	0.9998	370.354
6	1.0	0.9932	0.9998	726.963
8	1.0	0.9939	0.9994	2253.416
10	1.0	0.9942	0.9997	2293.927
