NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	1.0	0.995	1.0	185.585
4	1.0	0.9949	0.9995	982.411
6	1.0	0.9932	0.9998	1272.581
8	1.0	0.9938	0.9997	2251.729
10	1.0	0.9939	0.9994	3963.93
