DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
500	0.9982	1.0	1.0	3.985
1000	1.0	1.0	1.0	4.674
10000	1.0	0.993	0.9995	37.536
20000	1.0	0.9934	1.0	104.671
30000	1.0	0.9944	0.9991	236.089
40000	1.0	0.9934	0.9995	416.834
50000	0.9999	0.9939	0.9996	621.419
70000	1.0	0.9939	0.9994	2253.416
90000	1.0	0.9938	0.9997	2251.729
100000	1.0	0.9924	0.9994	3938.182
