NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.4543	0.0742	0.8566	269.537
4	0.6345	0.1352	0.9114	355.599
6	0.7312	0.2039	0.9403	419.353
8	0.7932	0.2625	0.9512	483.707
10	0.8339	0.3048	0.9569	543.498
