NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.0436	0.0438	0.0443	3912.173
4	0.0831	0.0821	0.0839	3814.882
6	0.1198	0.1277	0.1291	3758.405
8	0.154	0.1691	0.1658	3616.41
10	0.1848	0.1999	0.2023	3520.208
