DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.1162	0.1292	0.1318	115.707
10	0.1202	0.1298	0.1284	1208.398
20	0.1197	0.1232	0.1245	2439.027
30	0.1198	0.1277	0.1291	3758.405
40	0.1194	0.1253	0.1235	5051.986
