NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.0439	0.0447	0.0428	2582.585
4	0.0832	0.084	0.0845	2551.715
6	0.1197	0.1232	0.1245	2439.027
8	0.1536	0.1666	0.1673	2365.634
10	0.1844	0.2033	0.1983	2306.273
