DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.1559	0.1787	0.1687	117.707
10	0.1544	0.1671	0.1664	1180.407
20	0.1536	0.1666	0.1673	2365.634
30	0.154	0.1691	0.1658	3616.41
40	0.1532	0.1668	0.1647	4834.235
