DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.0808	0.0917	0.0844	120.198
10	0.0838	0.0815	0.0866	1271.19
20	0.0832	0.084	0.0845	2551.715
30	0.0831	0.0821	0.0839	3814.882
40	0.084	0.0841	0.0853	5128.961
