DATASIZE	CFDF1	MDF1	CFDMDF1	TIME
1	0.1849	0.1935	0.2008	112.244
10	0.1841	0.2062	0.2046	1164.372
20	0.1844	0.2033	0.1983	2306.273
30	0.1848	0.1999	0.2023	3520.208
40	0.1846	0.2023	0.2011	4716.275
