NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.0429	0.0315	0.0344	124.09
4	0.0808	0.0917	0.0844	120.198
6	0.1162	0.1292	0.1318	115.707
8	0.1559	0.1787	0.1687	117.707
10	0.1849	0.1935	0.2008	112.244
