NOISE	CFDF1	MDF1	CFDMDF1	TIME
2	0.0436	0.0474	0.0443	1287.843
4	0.0838	0.0815	0.0866	1271.19
6	0.1202	0.1298	0.1284	1208.398
8	0.1544	0.1671	0.1664	1180.407
10	0.1841	0.2062	0.2046	1164.372
